question,answer,comment,access,products,object_id,original_filename,upload_date,last_updated,tags
What lawful basis do you rely on for processing data?,Legitimate Interest,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~130,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Does your organization have a person responsible for information security and privacy?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~147,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Do you store or create payment information? (credit card, bank account, etc.....) If yes note below.",No,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~151,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Authorized/acceptable use of networked services,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~154,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Vendor Risk Management,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~163,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Has your organization adopted formal system build standards?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~174,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you monitor uptime and performance metrics?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~201,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are all of your networking devices and firewalls patched on a regular basis?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~205,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you require multi-factor authentication for remote access?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~222,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you collect/review audit log data for remote access on a regularly scheduled basis?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~226,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"If in the EU, does the Incident Response policy meet GDPR requirements?",NotApplicable,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~230,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Explain where Self Esteem Brands information will/could be stored and how it would be secured:,The data is stored in a cloud isolated by tenant. The data is encrypted at rest and in transit. Example storage would be AWS S3 bucket specific to Self Esteem Brands for our data. All data is stored in the US.,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~234,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have an encryption key management program?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~239,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
What teams or individuals will have access to Self Esteem Brands information?,"Engineers working in data, Customer Success team, Professional Services, Product Specialists",,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~245,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Please describe the testing process(es) employed as part of software development:,"Unit tests, integration tests, final human QA.",,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~255,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Review Type: (SOC, ISO, NIST, SIG, etcÉ)",SOC2,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~194,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you limit administrator level access on network and systems infrastructure?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~196,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you use firewall-reporting tools to analyze your firewall logs?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~208,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have an automated patch management solution deployed?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~181,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you utilize non-signature based endpoint protection?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~220,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Has an Incident response team been formally identified and documented?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~229,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have a security awareness training program in place for all employees?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~34,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have policies and/or procedures covering the following?,No Response Required,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~152,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Network Management,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~156,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Asset Management,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~19,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Review conducted by:,Insight Assurance,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~193,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are the consequences of non-compliance to the policies clearly documented?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~167,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Identity and Access Management,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~17,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you perform Risk Assessments on your Vendors?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~170,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do systems that access Self Esteem Brands information have automatic locking/workstation timeout enabled?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~175,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Has your organization defined a formal disaster recovery plan?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~231,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are users prevented from installing unauthorized software on their workstations?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~38,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you monitor the security/policy violations and exceptions?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~40,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Please describe the software development services that your company provides to Self Esteem Brands:,The RockerBox software engineering team continuously develops and improves the software use for sharing and analyzing data on behalf of Self Esteem Brands and our other customers.,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~252,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Does your organization perform any software development services for Self Esteem Brands?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~251,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Has an independent review of your risk assessment been conducted?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~53,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you have a vulnerability assessment?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~57,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"In testing environments, is data de-identified for use?",No,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~256,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Is your Information Security staff professionally certified (ISC2, ISACA, or SANS)?",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~59,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
For what purpose will you be collecting data through these Trackers?,"DoubleVerify tracks online ads to provide insights and analytics to its customers about the performance of the ads. Part of DoubleVerify's solutions requires the collection of some Personal Information belonging to the individuals who view the ads DoubleVerify analyzes, who become the data subjects whose Personal Information DoubleVerify processes.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~19,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:23.661Z,InfoSec/Privacy
"If in the cloud or hybrid, is the data center SOC 2 or ISO 27001, etc. certified?",Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~3,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Network based intrusion detection & prevention,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~77,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Please provide the link to your external facing Privacy Notice.,https://www.rockerbox.com/privacy,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~275,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are end-users prevented from disabling anti-virus software on client computers?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~81,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are the recovery procedures regularly tested for efficacy?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~94,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are the development and testing facilities isolated from operational facilities?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~202,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Are all of your company's employees who have or may have access to Self Esteem Brands information been subjected to background checks?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~39,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Vulnerability Management (To include malware protection, patching and scanning)",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~24,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you patch your malware/anti-virus on a regular basis?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~83,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Will/could Self Esteem Brands information be stored on removable media (e.g. flash drives, USB hard drives, et al.)?",No,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~102,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
UPS or Generator utilizied to support critical systems?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~50,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Which publicly available information security standard(s) (e.g. ISO 27002, NIST 800 series, COBIT, PCI, GDPR, et al.) is your program based on?",SOC 2 Type 2,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~11,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Is there explicit policy requiring anti-virus software on networked computers?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~80,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you conduct internal vulnerability scanning on a regularly scheduled basis?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~65,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"If ÒYesÓ, please explain where and how (at rest, in transit, on mobile devices, etc):",At rest and in transit,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~238,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Is firewall management covered in your information security policy and/or documented supporting procedures?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~71,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Is access to security logs strictly controlled (Firewall logs, etc.)?",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~60,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Does your organization follow a formal software development lifecycle (SDLC)?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~115,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Do you apply security patches, including OS and all 3rd party software, on a regularly scheduled basis?",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~179,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
HR Practices,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~15,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Host based intrusion detection & prevention,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~76,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Which of the following intrusion prevention/detection systems are implemented on your network?,No Response Required,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~75,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you conduct perimeter vulnerability scanning on a regularly scheduled basis?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~202,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Has your organization adopted and implemented a formal approach to information security supported by one or more information security policies?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~10,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Where are your company's data centers located? Which data center will store the data?,Stored within the US.,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~127,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Will the data be transferred downstream to any other third party?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~131,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"Data Handling Policy (to include data classification, use, storage, retention, and description of sensitive data)",Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~161,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you regularly test your firewall and verify that all of the allowed services/ports are acceptable and authorized?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~207,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Is Self Esteem Brands information protected by encryption?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~99,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Are all your routers configured with access control lists to allow only specific traffic to pass through?,Yes,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~66,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
Do you allow supervisory/administrative functions to be performed over unencrypted external links?,No,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~87,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
"If ""Yes"" please describe how, or if ""No"" please explain:",The data is isolated logically and physcially,,Internal,Rockerbox,8df8b7e7-4800-45ea-b08e-354fc149d588~081ced36-afc2-4544-8017-24985f1a2fa3~Self Esteem Brands Rockerbox.csv~109,Self Esteem Brands Rockerbox.csv,2025-11-17T17:22:00.125Z,2025-11-17T17:22:00.125Z,
